Date,Title,Link,Type
2017-12-23,科陆电子：关于受让上海卡耐新能源有限公司部分股权的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2017/2017-12/2017-12-23/3958675.PDF,其他
2017-12-23,科陆电子：关于股票期权与限制性股票激励计划预留部分第二次行权/解锁期行权/解锁条件成就的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2017/2017-12/2017-12-23/3958672.PDF,其他
2017-12-23,科陆电子：关于对股票期权与限制性股票激励计划预留部分涉及的权益数量进行调整的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2017/2017-12/2017-12-23/3958670.PDF,其他
2017-12-23,科陆电子：关于对股票期权与限制性股票激励计划部分激励股份回购注销的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2017/2017-12/2017-12-23/3958667.PDF,其他
2017-12-23,科陆电子：公司章程（2017年12月）,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2017/2017-12/2017-12-23/3958664.PDF,其他
2017-12-20,科陆电子：关于公司控股股东股份质押及解除质押的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2017/2017-12/2017-12-20/3949259.PDF,其他
2017-12-20,科陆电子：关于对深圳证券交易所问询函回复的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2017/2017-12/2017-12-20/3949258.PDF,其他
2017-12-16,科陆电子：关于全资子公司诉讼事项一审判决结果的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2017/2017-12/2017-12-16/3942254.PDF,其他
2017-12-15,科陆电子：关于董事长向全体员工发出买入公司股票倡议书的进展公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2017/2017-12/2017-12-15/3939540.PDF,其他
2017-12-12,科陆电子：2017年第九次临时股东大会决议公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2017/2017-12/2017-12-12/3928087.PDF,股东大会
2017-12-12,科陆电子：2017年第九次临时股东大会的法律意见书,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2017/2017-12/2017-12-12/3928084.PDF,股东大会
2017-12-09,科陆电子：关于经营合同预中标的提示性公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2017/2017-12/2017-12-09/3925054.PDF,其他
2017-12-08,科陆电子：项目中标公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2017/2017-12/2017-12-08/3920829.PDF,其他
